X1,X2,X3,X4,X5,X6,X7,X8,X9,y
M,J2,DKZIE,CODEZ26,SP,CLAP,78,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,94,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ26,SP,CLAP,94,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ26,SP,CLAP,94,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,8.5,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,111,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ26,SP,CLAP,111,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,120,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,11,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ27,SP,CLAF,20,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ27,SP,CLAF,26,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,28,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ27,SP,CLAF,34,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ27,SP,CLAF,37,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ27,SP,CLAF,37,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ27,SP,CLAF,37,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,60,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,63,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,68,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,78,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,94,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ27,SP,CLAF,94,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ27,SP,CLAF,94,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,8.5,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,111,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ27,SP,CLAF,111,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ27,SP,CLAF,120,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ28,SP,CLAC,11,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ28,SP,CLAC,20,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ28,SP,CLAC,26,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ28,SP,CLAC,28,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ28,SP,CLAC,34,XXX,BBB,BBB-AE04
